NonAsciiDomain,ShortURL,DeepSubdomain,LowAlexa,NoGoogleIndex,RedirectAway,ExternalRes,NewWindow,BlockRClick,InceptionBar,Login,CreditCard,Download,Urgent,ActionRequired,RESULT
0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,1,0,0,1,0,0,0,0,1
0,0,1,1245612,-1,0,0,0,0,0,0,0,0,0,0,1
0,1,1,-1,-1,1,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,1,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,-1,0,1,0,0,0,-1,1
0,0,1,-1,-1,0,0,0,-1,-1,1,0,0,0,-1,1
0,0,1,-1,-1,0,0,1,0,0,0,0,0,0,0,1
0,1,1,2758358,-1,1,0,0,0,0,1,0,0,0,0,1
0,0,4,606728,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,4,606728,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,4988492,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,3,606728,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
0,0,1,8689351,-1,0,0,1,0,0,1,0,0,0,0,1
0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
0,0,1,-1,-1,0,0,1,0,0,1,1,0,0,0,1
0,0,1,-1,-1,0,0,-1,-1,0,-1,-1,0,0,0,1
0,0,1,-1,-1,0,-1,0,0,0,-1,-1,-1,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,-1,0,0,0,0,1
0,0,1,1558035,-1,1,0,0,0,0,0,0,0,0,0,1
0,0,1,-1,-1,-1,0,0,0,0,-1,0,0,0,0,1
0,0,1,-1,-1,1,0,1,0,0,0,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,-1,-1,0,0,0,1
0,0,2,12103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,1558035,-1,1,0,0,0,0,0,0,0,0,0,1
0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,46336,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,1,0,1,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1
0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1
0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,946429,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
0,0,1,10514989,-1,0,0,1,0,0,1,0,0,0,0,1
0,0,1,946429,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
0,0,1,8689351,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,8689351,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,8689351,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,-1,-1,0,0,1,0,0,1,0,0,0,0,1
0,0,1,8689351,-1,0,0,1,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,-1,0,0,1,0,-1,0,-1,1
0,0,1,-1,-1,0,-1,-1,-1,0,1,0,0,-1,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,1,0,0,1
0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,946429,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
0,0,1,-1,-1,0,0,1,0,0,1,0,0,0,0,1
0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
0,0,1,946429,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,-1,-1,0,0,1,0,0,1,0,1,0,0,1
0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,-1,-1,0,0,1,0,0,1,0,1,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,1,0,0,-1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,1,-1,0,0,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,1,0,0,1,0,0,0,0,1
0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1017809,-1,0,0,0,0,0,0,1,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,2,-1,-1,0,0,1,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,1,0,0,1,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1
0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
0,0,1,-1,-1,0,0,1,0,0,0,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,6,198806,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,6,198806,-1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,-1,-1,0,0,1,0,0,1,1,0,0,0,1
0,0,1,-1,-1,0,0,1,0,0,0,1,0,0,0,1
